rank,name,category,score,percentile,e_total,e_fr,e_thd,e_match,e_unc,w_conf,price_brl,score_lower_95,score_upper_95,n_sources,thd_available,match_available,peakiness,impedance_interaction
346,Audio-Technica ATH-ADX5000,over-ear,0.000568,76.1,7.4175,7.4175,0.0,0.0,1.25,0.4444,105.39,0.000489,0.000665,1,False,False,43.3076,False
347,JVC HA-FR15,in-ear,0.000567,76.0,9.7835,9.7835,0.0,0.0,1.25,0.4444,80.11,0.000488,0.000663,1,False,False,66.0355,False
348,Grado SR60x,over-ear,0.000566,75.9,8.9977,8.9977,0.0,0.0,1.2731,0.4399,86.43,0.000486,0.000664,2,False,False,65.4877,False
349,"SoundPeats Air5 (ANC off, SoundPEATS Classic)",in-ear,0.000566,75.9,6.2561,6.2561,0.0,0.0,1.25,0.4444,125.52,0.000487,0.000662,1,False,False,78.8218,False
350,Sennheiser HD 448,over-ear,0.000565,75.8,6.0325,6.0325,0.0,0.0,2.4364,0.291,85.4,0.000444,0.000748,2,False,False,78.6889,False
351,Monoprice M1060,over-ear,0.000565,75.7,5.6761,5.6761,0.0,0.0,2.5359,0.2828,88.24,0.000441,0.000753,2,False,False,50.7243,False
352,SoundPeats RunFree Lite,over-ear,0.000565,75.7,7.8709,7.8709,0.0,0.0,1.25,0.4444,99.9,0.000487,0.000661,1,False,False,78.9359,False
353,KZ Castor Improved Bass Version (off-off-off-on),in-ear,0.000563,75.6,7.4418,7.4418,0.0,0.0,1.25,0.4444,106.0,0.000485,0.000659,1,False,False,50.664,False
354,Skullcandy Inkd 2.0,in-ear,0.000562,75.5,9.5009,9.5009,0.0,0.0,1.25,0.4444,83.2,0.000484,0.000657,1,False,False,67.7816,False
355,Koss Pro4AA 2014,over-ear,0.000561,75.5,9.9054,9.9054,0.0,0.0,1.25,0.4444,80.01,0.000483,0.000656,1,False,False,70.7019,False
356,Ultimate Ears UE700,in-ear,0.00056,75.4,8.7394,8.7394,0.0,0.0,1.0442,0.4892,99.9,0.000476,0.000666,2,False,False,55.4526,False
357,Audio-Technica ATH-PRO700,over-ear,0.00056,75.3,9.0902,9.0902,0.0,0.0,1.25,0.4444,87.29,0.000482,0.000655,1,False,False,101.1747,False
358,Koss PRO DJ 100,over-ear,0.00056,75.2,8.9167,8.9167,0.0,0.0,1.25,0.4444,89.0,0.000482,0.000655,1,False,False,121.8159,False
359,KBEAR Rosefinch,in-ear,0.000556,75.2,5.0993,5.0993,0.0,0.0,1.3057,0.4337,152.87,0.000476,0.000656,3,False,False,76.9301,False
360,Etymotic Mk5,in-ear,0.000551,75.1,6.6826,6.6826,0.0,0.0,1.25,0.4444,120.62,0.000475,0.000645,1,False,False,72.3649,False
361,MMR Thummim,in-ear,0.00055,75.0,6.8124,6.8124,0.0,0.0,1.25,0.4444,118.63,0.000473,0.000643,1,False,False,54.384,False
362,"Sennheiser PXC 550 Wireless (wired, power on)",over-ear,0.00055,75.0,7.3417,7.3417,0.0,0.0,1.25,0.4444,109.96,0.000474,0.000644,1,False,False,69.5414,False
363,KBEAR KS2,in-ear,0.000549,74.9,7.4065,7.4065,0.0,0.0,1.9216,0.3423,84.15,0.000444,0.000696,3,False,False,77.5404,False
364,Custom Art Fibae 5,in-ear,0.000547,74.8,9.9691,9.9691,0.0,0.0,1.25,0.4444,81.51,0.000471,0.000639,1,False,False,57.0853,False
365,Focal Azurys,over-ear,0.000547,74.8,4.9096,4.9096,0.0,0.0,1.8637,0.3492,130.02,0.000444,0.00069,3,False,False,74.6547,False
366,"Fairphone Fairbuds (flat eq, ANC Off)",in-ear,0.000544,74.7,9.7184,9.7184,0.0,0.0,1.25,0.4444,84.0,0.000469,0.000637,1,False,False,112.9322,False
367,AKG K702 (Geekria earpads),over-ear,0.000543,74.6,9.788,9.788,0.0,0.0,1.25,0.4444,83.68,0.000467,0.000634,1,False,False,44.0773,False
368,Beats Solo (sample 2),over-ear,0.000542,74.5,7.6975,7.6975,0.0,0.0,1.25,0.4444,106.56,0.000466,0.000634,1,False,False,88.5622,False
369,Samsung U Flex,in-ear,0.000542,74.5,9.6648,9.6648,0.0,0.0,1.25,0.4444,84.83,0.000467,0.000634,1,False,False,58.3073,False
370,Sony WF-C500,in-ear,0.000541,74.4,6.9156,6.9156,0.0,0.0,2.1529,0.3172,84.71,0.000432,0.000701,3,False,False,47.6544,False
371,Devialet Gemini,in-ear,0.00054,74.3,6.9984,6.9984,0.0,0.0,1.25,0.4444,117.67,0.000465,0.000631,1,False,False,76.4634,False
372,TForce Yuan Li,in-ear,0.00054,74.3,5.4929,5.4929,0.0,0.0,1.6647,0.3753,126.48,0.000446,0.000667,2,False,False,90.6906,False
373,Tanchjim Origin,in-ear,0.00054,74.2,5.8345,5.8345,0.0,0.0,1.25,0.4444,141.12,0.000465,0.000631,1,False,False,49.1921,False
374,ORA GrapheneQ,over-ear,0.00054,74.1,9.6099,9.6099,0.0,0.0,1.25,0.4444,85.61,0.000465,0.000632,1,False,False,49.9776,False
375,Samsung AKG EO-IG955,in-ear,0.000539,74.1,8.2349,8.2349,0.0,0.0,1.5902,0.3861,86.97,0.000448,0.00066,2,False,False,43.714,False
376,SoftEars Studio 2,in-ear,0.000538,74.0,9.6772,9.6772,0.0,0.0,1.3659,0.4227,81.13,0.000457,0.00064,2,False,False,116.1841,False
377,Panasonic RP-HC101,over-ear,0.000538,73.9,10.2593,10.2593,0.0,0.0,1.25,0.4444,80.55,0.000463,0.000629,1,False,False,69.1156,False
378,KZ EDSE,in-ear,0.000538,73.9,10.3343,10.3343,0.0,0.0,1.25,0.4444,80.0,0.000463,0.000629,1,False,False,71.2069,False
379,V-MODA M-200,over-ear,0.000538,73.8,10.1265,10.1265,0.0,0.0,1.25,0.4444,81.53,0.000463,0.000629,1,False,False,67.5425,False
380,realme Buds Air6 Pro (Nature Balance eq),in-ear,0.000537,73.7,8.3794,8.3794,0.0,0.0,1.25,0.4444,98.74,0.000462,0.000628,1,False,False,100.2701,False
381,Logitech G PRO 2 (leather earpads),over-ear,0.000536,73.6,7.5999,7.5999,0.0,0.0,1.25,0.4444,109.04,0.000462,0.000627,1,False,False,62.9049,False
382,DUNU Zen,in-ear,0.000535,73.6,5.9197,5.9197,0.0,0.0,1.5055,0.3991,126.05,0.000448,0.000648,3,False,False,124.0051,False
383,HIFIMAN HE35X,over-ear,0.000535,73.5,6.8171,6.8171,0.0,0.0,1.5875,0.3865,106.03,0.000444,0.000654,1,False,False,81.0139,False
384,Sennheiser HD 558,over-ear,0.000534,73.4,6.9325,6.9325,0.0,0.0,2.0908,0.3235,87.37,0.000427,0.000688,2,False,False,57.1011,False
385,Moondrop Blessing 3,in-ear,0.000534,73.4,7.5831,7.5831,0.0,0.0,1.9367,0.3405,84.01,0.000432,0.000679,4,False,False,40.1388,False
386,Grado GS1000,over-ear,0.000533,73.3,8.9856,8.9856,0.0,0.0,1.4143,0.4142,86.43,0.000451,0.000638,2,False,False,56.6832,False
387,HIFIMAN RE600S,in-ear,0.000533,73.2,8.8059,8.8059,0.0,0.0,1.5875,0.3865,82.34,0.000443,0.000652,1,False,False,52.9576,False
388,Vivo XE800,in-ear,0.000533,73.2,6.1628,6.1628,0.0,0.0,1.25,0.4444,135.24,0.000459,0.000623,1,False,False,81.5486,False
389,BQEYZ Cloud,in-ear,0.000532,73.1,7.1222,7.1222,0.0,0.0,1.644,0.3782,99.83,0.00044,0.000655,2,False,False,57.7817,False
390,Sennheiser HD1 On-Ear,over-ear,0.000532,73.0,9.8798,9.8798,0.0,0.0,1.25,0.4444,84.48,0.000458,0.000623,1,False,False,76.3604,False
391,Moondrop x Crinacle DUSK,in-ear,0.000531,73.0,6.5673,6.5673,0.0,0.0,2.2044,0.3121,89.52,0.000422,0.00069,3,False,False,34.6209,False
392,Prisma Audio Azul,in-ear,0.00053,72.9,6.8764,6.8764,0.0,0.0,1.3903,0.4184,114.75,0.000449,0.000632,2,False,False,46.1407,False
393,Skullcandy Hesh 3,over-ear,0.000528,72.8,10.4856,10.4856,0.0,0.0,1.25,0.4444,80.32,0.000454,0.000617,1,False,False,60.9416,False
394,SoundPeats Mini Pro,in-ear,0.000527,72.7,6.7168,6.7168,0.0,0.0,1.25,0.4444,125.52,0.000454,0.000616,1,False,False,82.9989,False
395,Sony MDR-ZX310,over-ear,0.000527,72.7,4.9375,4.9375,0.0,0.0,1.25,0.4444,170.91,0.000453,0.000616,1,False,False,69.7618,False
396,DUNU DM380,in-ear,0.000526,72.6,7.663,7.663,0.0,0.0,1.25,0.4444,110.31,0.000453,0.000615,1,False,False,85.5725,False
397,Sennheiser CX 1.00,in-ear,0.000526,72.5,7.1303,7.1303,0.0,0.0,1.25,0.4444,118.5,0.000453,0.000615,1,False,False,69.7754,False
398,Rock Zircon,in-ear,0.000526,72.5,10.1014,10.1014,0.0,0.0,1.25,0.4444,83.61,0.000453,0.000615,1,False,False,67.2289,False
399,Tin HiFi T2 Plus,in-ear,0.000525,72.4,5.8168,5.8168,0.0,0.0,1.896,0.3453,113.0,0.000426,0.000664,4,False,False,83.6883,False
400,HyperX Cloud Alpha Wireless,over-ear,0.000525,72.3,9.4114,9.4114,0.0,0.0,1.25,0.4444,89.9,0.000452,0.000614,1,False,False,73.43,False
401,CAT Apollo,in-ear,0.000524,72.3,6.3727,6.3727,0.0,0.0,1.25,0.4444,133.0,0.000451,0.000613,1,False,False,82.4014,False
402,KZ PR1 Pro,in-ear,0.000523,72.2,9.1306,9.1306,0.0,0.0,1.6169,0.3821,80.0,0.000433,0.000642,2,False,False,36.7683,False
403,Sennheiser IE 600 (AZLA Sedna eartips),in-ear,0.000522,72.1,8.8039,8.8039,0.0,0.0,1.25,0.4444,96.76,0.000449,0.00061,1,False,False,73.879,False
404,Monster Turbine Pro Gold,in-ear,0.000521,72.1,5.2792,5.2792,0.0,0.0,2.6394,0.2748,99.9,0.000405,0.000699,2,False,False,54.1478,False
405,Auribus Acoustics Everest,over-ear,0.000521,72.0,7.1707,7.1707,0.0,0.0,1.25,0.4444,118.9,0.000449,0.000609,1,False,False,90.7014,False
406,SoundPeats Engine 4,in-ear,0.000519,71.9,6.3083,6.3083,0.0,0.0,1.4344,0.4108,125.52,0.000437,0.000623,3,False,False,51.228,False
407,Audio-Technica ATH-A900X,over-ear,0.000519,71.8,7.1915,7.1915,0.0,0.0,1.25,0.4444,119.0,0.000447,0.000607,1,False,False,86.79,False
408,Skullcandy Grind,over-ear,0.000519,71.8,7.606,7.606,0.0,0.0,1.9682,0.3369,85.41,0.000418,0.00066,2,False,False,65.5143,False
409,SoundPeats Mini,in-ear,0.000519,71.7,9.3212,9.3212,0.0,0.0,1.25,0.4444,91.9,0.000447,0.000607,1,False,False,39.2137,False
410,KZ ZA12 (on-off-off-off),in-ear,0.000518,71.6,8.7245,8.7245,0.0,0.0,1.25,0.4444,98.37,0.000446,0.000605,1,False,False,42.8046,False
411,Sony INZONE H9,over-ear,0.000517,71.6,10.2404,10.2404,0.0,0.0,1.25,0.4444,83.88,0.000445,0.000605,1,False,False,72.2938,False
412,"Edifier WH950NB (ANC on, classic EQ)",over-ear,0.000514,71.5,5.6576,5.6576,0.0,0.0,1.25,0.4444,152.9,0.000442,0.000601,1,False,False,77.4236,False
413,AME Radioso,in-ear,0.000514,71.4,8.0305,8.0305,0.0,0.0,1.25,0.4444,107.65,0.000443,0.000601,1,False,False,56.5408,False
414,MYER-AUDIO CKLVX D62,in-ear,0.000514,71.4,7.4577,7.4577,0.0,0.0,1.6074,0.3835,100.02,0.000426,0.00063,4,False,False,43.8933,False
415,Spider Moonlight,over-ear,0.000513,71.3,9.448,9.448,0.0,0.0,1.25,0.4444,91.7,0.000442,0.0006,1,False,False,105.9456,False
416,"Edifier WH950NB (ANC on, dynamic mode)",over-ear,0.000513,71.2,5.6609,5.6609,0.0,0.0,1.25,0.4444,152.9,0.000442,0.0006,1,False,False,109.3162,False
417,Sennheiser HD 560S,over-ear,0.000512,71.2,6.8702,6.8702,0.0,0.0,2.551,0.2816,80.0,0.0004,0.000684,6,False,False,45.424,False
418,Skullcandy Smokin Buds- Mic'd,in-ear,0.000512,71.1,4.8637,4.8637,0.0,0.0,1.25,0.4444,178.51,0.000441,0.000599,1,False,False,75.6052,False
419,Tanchjim Bunny,in-ear,0.00051,71.0,6.177,6.177,0.0,0.0,1.25,0.4444,141.12,0.000439,0.000596,1,False,False,55.2538,False
420,SoundPeats Air4 (ANC on),in-ear,0.00051,70.9,6.9471,6.9471,0.0,0.0,1.25,0.4444,125.52,0.000439,0.000596,1,False,False,64.2357,False
421,Beyerdynamic DT 1990 Pro MKII,over-ear,0.000509,70.9,8.5393,8.5393,0.0,0.0,1.25,0.4444,102.27,0.000438,0.000595,1,False,False,85.0456,False
422,KZ ZS10 Pro 2 (on-off-off-off),in-ear,0.000506,70.8,8.9487,8.9487,0.0,0.0,1.2988,0.435,96.11,0.000433,0.000596,2,False,False,46.0302,False
423,Astell & Kern Odyssey,in-ear,0.000505,70.7,6.4041,6.4041,0.0,0.0,1.25,0.4444,137.38,0.000435,0.000591,1,False,False,51.1849,False
424,Moondrop Para (hybrid earpads),over-ear,0.000505,70.7,8.698,8.698,0.0,0.0,1.6998,0.3704,84.3,0.000416,0.000626,2,False,False,52.8283,False
425,"Huawei Freebuds 5i (ANC on, treble boost)",in-ear,0.000503,70.6,8.0379,8.0379,0.0,0.0,1.25,0.4444,109.94,0.000433,0.000588,1,False,False,66.7759,False
426,Jabra Talk 45,over-ear,0.0005,70.5,10.5522,10.5522,0.0,0.0,1.25,0.4444,84.2,0.000431,0.000585,1,False,False,109.4231,False
427,Sennheiser OMX 680,over-ear,0.000499,70.5,4.0635,4.0635,0.0,0.0,1.25,0.4444,219.0,0.00043,0.000584,1,False,False,71.0772,False
428,Wyze Noise-Cancelling Headphones,over-ear,0.000499,70.4,8.1116,8.1116,0.0,0.0,1.25,0.4444,109.85,0.000429,0.000583,1,False,False,75.2905,False
429,Audio-Technica ATH-W5000 2013,over-ear,0.000497,70.3,7.5196,7.5196,0.0,0.0,1.25,0.4444,119.0,0.000428,0.000581,1,False,False,67.9331,False
430,Advanced GT-R,over-ear,0.000496,70.2,10.5648,10.5648,0.0,0.0,1.25,0.4444,84.77,0.000427,0.00058,1,False,False,62.5195,False
431,KZ Vader Balanced (off-off-off-off),in-ear,0.000495,70.2,6.4162,6.4162,0.0,0.0,1.25,0.4444,140.0,0.000426,0.000578,1,False,False,53.2634,False
432,AfterShokz Trekz Air,over-ear,0.000495,70.1,11.029,11.029,0.0,0.0,1.25,0.4444,81.47,0.000426,0.000578,1,False,False,116.279,False
433,KZ Vader Balanced (on-off-off-off),in-ear,0.000494,70.0,6.4287,6.4287,0.0,0.0,1.25,0.4444,140.0,0.000425,0.000577,1,False,False,53.1049,False
434,Moondrop Kadenz,in-ear,0.000493,70.0,5.1173,5.1173,0.0,0.0,1.25,0.4444,176.33,0.000424,0.000576,1,False,False,54.7638,False
435,Skullcandy Hesh Evo,over-ear,0.000493,69.9,10.8346,10.8346,0.0,0.0,1.25,0.4444,83.2,0.000424,0.000576,1,False,False,50.7376,False
436,TRN MT4 Pro,in-ear,0.000493,69.8,5.3091,5.3091,0.0,0.0,1.25,0.4444,169.95,0.000424,0.000576,1,False,False,69.7535,False
437,TRN V10 PRO,in-ear,0.000493,69.8,7.2675,7.2675,0.0,0.0,1.25,0.4444,124.08,0.000424,0.000576,1,False,False,64.4606,False
438,Brainwavz S1,in-ear,0.000492,69.7,7.1696,7.1696,0.0,0.0,1.25,0.4444,125.89,0.000424,0.000576,1,False,False,71.1031,False
439,Sony WH-CH520,over-ear,0.000492,69.6,7.3381,7.3381,0.0,0.0,1.25,0.4444,123.0,0.000424,0.000576,1,False,False,58.4217,False
440,Philips SHP9500,over-ear,0.000491,69.6,6.6727,6.6727,0.0,0.0,2.4088,0.2934,89.49,0.000386,0.000649,4,False,False,47.875,False
441,Koss Pro4AA 1975,over-ear,0.00049,69.5,10.3817,10.3817,0.0,0.0,1.25,0.4444,87.37,0.000422,0.000573,1,False,False,68.3091,False
442,Sennheiser IE 300,in-ear,0.000487,69.4,8.6601,8.6601,0.0,0.0,1.6448,0.3781,89.66,0.000402,0.0006,3,False,False,72.8129,False
443,"Torque t402v (around-ear earpads, blue vent)",over-ear,0.000487,69.3,8.2029,8.2029,0.0,0.0,1.25,0.4444,111.28,0.000419,0.000569,1,False,False,65.3564,False
444,"LZ Hi-Fi Audio A7 (monitor, gold nozzle)",in-ear,0.000487,69.3,7.3637,7.3637,0.0,0.0,1.25,0.4444,124.0,0.000419,0.000569,1,False,False,56.0328,False
445,Apple AirPods 2,over-ear,0.000484,69.2,9.4899,9.4899,0.0,0.0,1.25,0.4444,96.81,0.000416,0.000566,1,False,False,102.1462,False
446,Audeze Euclid,over-ear,0.000484,69.1,6.6392,6.6392,0.0,0.0,1.475,0.404,125.75,0.000406,0.000584,1,False,False,59.4446,False
447,Somic V2,over-ear,0.000483,69.1,9.6801,9.6801,0.0,0.0,1.25,0.4444,94.99,0.000416,0.000565,1,False,False,64.0509,False
448,Dyson OnTrac (bass boost),over-ear,0.000482,69.0,4.8482,4.8482,0.0,0.0,1.25,0.4444,190.04,0.000415,0.000564,1,False,False,107.139,False
449,Moondrop Meteor,in-ear,0.000481,68.9,5.1242,5.1242,0.0,0.0,1.3024,0.4343,176.33,0.000411,0.000566,2,False,False,56.4758,False
450,Peacock Audio P1,in-ear,0.00048,68.9,7.7271,7.7271,0.0,0.0,1.25,0.4444,119.89,0.000413,0.000561,1,False,False,70.8836,False
451,TOZO T10,in-ear,0.00048,68.8,10.9404,10.9404,0.0,0.0,1.25,0.4444,84.69,0.000413,0.000561,1,False,False,60.6405,False
452,Sleek SA6,in-ear,0.000479,68.7,9.7648,9.7648,0.0,0.0,1.25,0.4444,95.0,0.000412,0.00056,1,False,False,88.9081,False
453,Bose QuietComfort 15,over-ear,0.000479,68.7,6.7717,6.7717,0.0,0.0,2.813,0.2623,80.8,0.00037,0.000651,2,False,False,64.5636,False
454,NiceHCK Topguy,in-ear,0.000479,68.6,4.2926,4.2926,0.0,0.0,1.1338,0.4687,228.11,0.000409,0.000565,2,False,False,94.3698,False
455,Moondrop Droplet,in-ear,0.000478,68.5,4.1514,4.1514,0.0,0.0,1.8593,0.3497,176.33,0.000388,0.000602,2,False,False,75.1424,False
456,Beats Powerbeats 2 Wireless,over-ear,0.000478,68.4,8.7169,8.7169,0.0,0.0,1.25,0.4444,106.56,0.000412,0.000559,1,False,False,20.4739,False
457,Grado iGi,in-ear,0.000477,68.4,9.5152,9.5152,0.0,0.0,1.25,0.4444,97.81,0.000411,0.000558,1,False,False,94.7015,False
458,Monster Miles Davis Tribute,in-ear,0.000477,68.3,5.3609,5.3609,0.0,0.0,1.25,0.4444,173.89,0.00041,0.000557,1,False,False,62.3355,False
459,Moondrop Quarks DSP,in-ear,0.000476,68.2,5.5823,5.5823,0.0,0.0,1.6957,0.371,139.59,0.000392,0.00059,4,False,False,43.3451,False
460,Queen of Audio Adonix New,in-ear,0.000476,68.2,5.3145,5.3145,0.0,0.0,1.25,0.4444,175.77,0.00041,0.000556,1,False,False,77.8126,False
461,Denon AH-D310R,over-ear,0.000476,68.1,10.1198,10.1198,0.0,0.0,1.25,0.4444,92.24,0.00041,0.000557,1,False,False,99.0941,False
462,Kiwi Ears Ellipse,over-ear,0.000476,68.0,8.7254,8.7254,0.0,0.0,1.25,0.4444,106.96,0.00041,0.000557,1,False,False,91.0061,False
463,Creative Aurvana Ace 2,in-ear,0.000475,68.0,6.0724,6.0724,0.0,0.0,2.2732,0.3055,105.84,0.000376,0.000622,3,False,False,52.9415,False
464,TRN Medusa,in-ear,0.000474,67.9,8.489,8.489,0.0,0.0,1.4317,0.4112,102.21,0.0004,0.000569,2,False,False,77.1459,False
465,JLab Audio JBuds Air Executive,in-ear,0.000474,67.8,10.9732,10.9732,0.0,0.0,1.25,0.4444,85.47,0.000408,0.000554,1,False,False,51.8811,False
466,YU9 Audio U-556,in-ear,0.000474,67.8,5.3065,5.3065,0.0,0.0,1.25,0.4444,176.76,0.000408,0.000554,1,False,False,98.195,False
467,Brainwavz M2,in-ear,0.000471,67.7,7.5005,7.5005,0.0,0.0,1.25,0.4444,125.89,0.000405,0.00055,1,False,False,62.698,False
468,JBL Tune Buds,in-ear,0.00047,67.6,9.5569,9.5569,0.0,0.0,1.25,0.4444,99.0,0.000404,0.000549,1,False,False,141.8266,False
469,Grado RS1e (flat earpads),over-ear,0.000469,67.5,8.9715,8.9715,0.0,0.0,1.25,0.4444,105.62,0.000404,0.000548,1,False,False,75.6941,False
470,Sennheiser PXC 550 Wireless,over-ear,0.000468,67.5,9.2834,9.2834,0.0,0.0,1.25,0.4444,102.19,0.000403,0.000548,1,False,False,73.4051,False
471,KZ Krila,in-ear,0.000467,67.4,6.1047,6.1047,0.0,0.0,1.25,0.4444,155.93,0.000402,0.000546,1,False,False,51.2496,False
472,Oppo Enco X,in-ear,0.000466,67.3,7.2537,7.2537,0.0,0.0,1.25,0.4444,131.58,0.000401,0.000544,1,False,False,65.7811,False
473,HyperX Cloud II,over-ear,0.000464,67.3,9.144,9.144,0.0,0.0,1.5626,0.3902,91.95,0.000386,0.000566,3,False,False,62.5849,False
474,Alpha & Delta KS100,in-ear,0.000463,67.2,5.8415,5.8415,0.0,0.0,1.25,0.4444,164.26,0.000399,0.000542,1,False,False,68.0531,False
475,Campfire Audio Andromeda,in-ear,0.000462,67.1,6.4235,6.4235,0.0,0.0,2.0638,0.3264,110.0,0.00037,0.000593,2,False,False,56.3179,False
476,Ludos Clamor,in-ear,0.000462,67.1,6.3563,6.3563,0.0,0.0,1.25,0.4444,151.33,0.000398,0.00054,1,False,False,65.3959,False
477,TFZ T2 Pro,in-ear,0.00046,67.0,5.8321,5.8321,0.0,0.0,1.1915,0.4563,170.05,0.000395,0.00054,2,False,False,71.0275,False
478,RUNMUS RGB K1 Gaming Headset,over-ear,0.00046,66.9,11.3718,11.3718,0.0,0.0,1.25,0.4444,84.99,0.000396,0.000538,1,False,False,74.2995,False
479,Xbox Stereo Headset,over-ear,0.00046,66.9,10.7551,10.7551,0.0,0.0,1.25,0.4444,89.9,0.000396,0.000537,1,False,False,63.2391,False
480,TOZO NC9,in-ear,0.000459,66.8,11.6562,11.6562,0.0,0.0,1.25,0.4444,83.01,0.000395,0.000537,1,False,False,61.3486,False
481,Bowers & Wilkins P5 Series 2,over-ear,0.000458,66.7,7.3683,7.3683,0.0,0.0,2.7544,0.2664,78.98,0.000354,0.000619,2,False,False,56.7116,False
482,JLab Audio Epic Lab Edition (JLab Signature eq),in-ear,0.000457,66.6,9.059,9.059,0.0,0.0,1.25,0.4444,107.23,0.000394,0.000535,1,False,False,58.8259,False
483,KZ Castor (off-off-off-off),in-ear,0.000457,66.6,7.0429,7.0429,0.0,0.0,1.931,0.3412,106.0,0.00037,0.00058,3,False,False,49.7855,False
484,Sony ULT WEAR,over-ear,0.000457,66.5,6.7346,6.7346,0.0,0.0,2.5311,0.2832,91.93,0.000358,0.00061,2,False,False,80.4924,False
485,Plantronics BackBeat Go 600,over-ear,0.000457,66.4,10.0101,10.0101,0.0,0.0,1.25,0.4444,97.23,0.000393,0.000534,1,False,False,57.4511,False
486,Pioneer HDJ-1000 Gold,over-ear,0.000456,66.4,6.7582,6.7582,0.0,0.0,1.25,0.4444,144.27,0.000392,0.000533,1,False,False,107.0393,False
487,Sennheiser HD 229 Black,over-ear,0.000456,66.3,6.0768,6.0768,0.0,0.0,1.25,0.4444,160.37,0.000393,0.000533,1,False,False,100.017,False
488,Moondrop Quark 2,in-ear,0.000453,66.2,5.1157,5.1157,0.0,0.0,1.5391,0.3938,170.1,0.000378,0.00055,2,False,False,51.8667,False
489,7Hz Aurora,in-ear,0.000451,66.2,6.7346,6.7346,0.0,0.0,1.25,0.4444,146.16,0.000389,0.000528,1,False,False,53.7879,False
490,"Bowers & Wilkins PX7 S3 (ANC on, position 2)",over-ear,0.00045,66.1,7.6527,7.6527,0.0,0.0,1.25,0.4444,128.92,0.000388,0.000527,1,False,False,110.5126,False
491,64 Audio U12t (Fir Audio red module),in-ear,0.00045,66.0,6.9575,6.9575,0.0,0.0,1.25,0.4444,141.87,0.000388,0.000526,1,False,False,87.8917,False
492,Cambridge Audio Melomania 1+,in-ear,0.000449,66.0,7.4077,7.4077,0.0,0.0,1.25,0.4444,133.61,0.000387,0.000525,1,False,False,44.3698,False
493,Sony MDR-XB950N1,over-ear,0.000448,65.9,11.7482,11.7482,0.0,0.0,1.25,0.4444,84.48,0.000386,0.000524,1,False,False,88.1572,False
494,KZ Castor (on-on-off-off),in-ear,0.000447,65.8,7.0616,7.0616,0.0,0.0,1.9885,0.3346,106.0,0.00036,0.00057,2,False,False,46.7071,False
495,HyperX Cloud Alpha,over-ear,0.000447,65.7,7.5802,7.5802,0.0,0.0,2.5021,0.2855,84.27,0.00035,0.000595,3,False,False,52.2483,False
496,JBL Quantum 800,over-ear,0.000447,65.7,9.0482,9.0482,0.0,0.0,1.25,0.4444,109.9,0.000385,0.000523,1,False,False,68.5832,False
497,Logitech G PRO 2 (fabric earpads),over-ear,0.000446,65.6,9.1289,9.1289,0.0,0.0,1.25,0.4444,109.04,0.000384,0.000522,1,False,False,57.8937,False
498,64 Audio Nio (Fir Audio black module),in-ear,0.000446,65.5,5.8891,5.8891,0.0,0.0,1.25,0.4444,169.04,0.000384,0.000522,1,False,False,93.5025,False
499,Jabra Elite 10 Gen 2,in-ear,0.000445,65.5,8.3745,8.3745,0.0,0.0,2.2067,0.3118,83.68,0.000354,0.000579,2,False,False,67.4892,False
500,Grado SR80 (L-Cush earpads),over-ear,0.000445,65.4,10.7397,10.7397,0.0,0.0,1.25,0.4444,92.97,0.000383,0.00052,1,False,False,67.9503,False
501,JBL Live 200BT,in-ear,0.000443,65.3,7.719,7.719,0.0,0.0,1.25,0.4444,129.9,0.000382,0.000518,1,False,False,51.0471,False
502,Sivga Luan,over-ear,0.000441,65.3,8.4706,8.4706,0.0,0.0,1.5437,0.3931,105.35,0.000367,0.000536,3,False,False,65.1013,False
503,Tanchjim One DSP,in-ear,0.000441,65.2,7.3035,7.3035,0.0,0.0,1.1987,0.4548,141.12,0.000379,0.000518,2,False,False,46.3442,False
504,Denon AH-NC732K,over-ear,0.00044,65.1,10.9405,10.9405,0.0,0.0,1.25,0.4444,92.24,0.000379,0.000515,1,False,False,96.8935,False
505,Denon AH-D7100,over-ear,0.00044,65.0,10.7458,10.7458,0.0,0.0,1.0995,0.4763,100.66,0.000375,0.000521,2,False,False,109.021,False
506,Sennheiser RS 195,over-ear,0.00044,65.0,11.7321,11.7321,0.0,0.0,1.25,0.4444,86.12,0.000379,0.000514,1,False,False,84.8625,False
507,Monster Jamz,in-ear,0.000439,64.9,4.4253,4.4253,0.0,0.0,4.5068,0.1816,93.49,0.000324,0.000642,2,False,False,72.726,False
508,EPZ G10,in-ear,0.000438,64.8,5.8428,5.8428,0.0,0.0,1.6919,0.3715,145.12,0.000361,0.000542,5,False,False,53.3805,False
509,Tin HiFi C3,in-ear,0.000438,64.8,4.606,4.606,0.0,0.0,1.4926,0.4012,199.0,0.000367,0.000529,3,False,False,57.0266,False
510,Astell & Kern AURA,in-ear,0.000438,64.7,7.3877,7.3877,0.0,0.0,1.25,0.4444,137.38,0.000377,0.000512,1,False,False,50.7951,False
511,"Bowers & Wilkins PX7 S3 (ANC on, position 3)",over-ear,0.000438,64.6,7.8721,7.8721,0.0,0.0,1.25,0.4444,128.92,0.000377,0.000512,1,False,False,110.6308,False
512,Logitech UE4000 2012,over-ear,0.000437,64.6,9.12,9.12,0.0,0.0,1.25,0.4444,111.38,0.000377,0.000512,1,False,False,60.9139,False
